Gemälde,
föhnen,
Tagesablauf,
Staatsdienst,
bewundern,
Wirtschaftszweig,
Betrieb,
verwöhnen,
Skulptur,
Trompete,
Stereoanlage,
begabt,
komponieren,
Ruf,
Lärm,
verspielen,
überwältigend,
Komödie,
Zeichentrickfilm,
psychopathisch,
faszinieren,
Faszination,
tragisch,
Kameramann,
Ermordung,
Aufklärung,
verweisen,
Kriminologe,
aufklären,
Straftat,
Verhör,
stehlen
verhören,
überfallen,
einbrechen,
erscheinen,
feig,
ungelöst,
aufgeklärt,
Pistole,
bedrohen,
Räuber,
spurlos,
Blick
